node_id,lon,lat,elevation
436,11.5719178,48.1301621,520.0
437,11.5846453,48.1277644,517.0
438,11.5859182,48.1287435,517.0
439,11.5870456,48.1286945,517.0
440,11.5584013,48.1295309,525.0
441,11.5585032,48.1331350,525.0
442,11.5584791,48.1324807,525.0
443,11.5580593,48.1327417,525.0
444,11.5582107,48.1325860,525.0
445,11.5580734,48.1328894,525.0
446,11.5581924,48.1330199,525.0
447,11.5877965,48.1313352,519.0
448,11.5878090,48.1314246,519.0
449,11.5873994,48.1315077,516.0
450,11.5875819,48.1312170,524.0
451,11.5622780,48.1332376,527.0
452,11.5627868,48.1320312,523.0
453,11.5623022,48.1331048,527.0
454,11.5650381,48.1326774,529.0
455,11.5637956,48.1334176,523.0
456,11.5644904,48.1334905,523.0
457,11.5654565,48.1335928,524.0
458,11.5655770,48.1337707,524.0
459,11.5635694,48.1342145,523.0
460,11.5606549,48.1330538,527.0
461,11.5597737,48.1329571,525.0
462,11.5531883,48.1351705,523.0
463,11.5557939,48.1348976,530.0
464,11.5852398,48.1294430,519.0
465,11.5804782,48.1275766,518.0
466,11.5668006,48.1322566,525.0
467,11.5671745,48.1322629,525.0
468,11.5675625,48.1319086,525.0
469,11.5691158,48.1311610,526.0
470,11.5708062,48.1309915,526.0
471,11.5709097,48.1310463,520.0
472,11.5673314,48.1308208,521.0
473,11.5662815,48.1309107,524.0
474,11.5667248,48.1320736,525.0
475,11.5672742,48.1299539,521.0
476,11.5674393,48.1297306,521.0
477,11.5679750,48.1294556,521.0
478,11.5681676,48.1291387,522.0
479,11.5682388,48.1289651,522.0
480,11.5696766,48.1290502,522.0
481,11.5697372,48.1293465,526.0
482,11.5700109,48.1301180,526.0
483,11.5717620,48.1290450,521.0
484,11.5703633,48.1283309,522.0
485,11.5699616,48.1262758,519.0
486,11.5724893,48.1265921,521.0
487,11.5693055,48.1261056,519.0
488,11.5694126,48.1261231,519.0
489,11.5705246,48.1427680,526.0
490,11.5674729,48.1412212,526.0
491,11.5739675,48.1440937,529.0
492,11.5747282,48.1446623,529.0
493,11.5743811,48.1439144,529.0
494,11.5766212,48.1436568,528.0
495,11.5767010,48.1438276,519.0
496,11.5768734,48.1442157,519.0
497,11.5771087,48.1447806,519.0
498,11.5774646,48.1436704,521.0
499,11.5775867,48.1439182,519.0
500,11.5773663,48.1434518,521.0
501,11.5683861,48.1401434,526.0
502,11.5600334,48.1374272,524.0
503,11.5532191,48.1364034,523.0
504,11.5532572,48.1375166,526.0
505,11.5525210,48.1366676,523.0
506,11.5516178,48.1361015,522.0
507,11.5683324,48.1334980,524.0
508,11.5694066,48.1335183,522.0
509,11.5694009,48.1338345,522.0
510,11.5763997,48.1344358,520.0
511,11.5792851,48.1339267,521.0
512,11.5727338,48.1362551,525.0
513,11.5995325,48.1308278,534.0
514,11.5992953,48.1311210,534.0
515,11.5986701,48.1315521,535.0
516,11.5978347,48.1321147,526.0
517,11.5981916,48.1299429,534.0
518,11.5973058,48.1293523,531.0
519,11.5972277,48.1305991,531.0
520,11.5941012,48.1309484,530.0
521,11.5955889,48.1302692,530.0
522,11.5999087,48.1323054,535.0
523,11.5961572,48.1330700,526.0
524,11.5963726,48.1322905,526.0
525,11.5945784,48.1322799,533.0
526,11.5945696,48.1330275,533.0
527,11.6023531,48.1361508,525.0
528,11.5985021,48.1328495,535.0
529,11.5992194,48.1326152,535.0
530,11.5973395,48.1332939,526.0
531,11.5996928,48.1333258,535.0
532,11.5875386,48.1305542,524.0
533,11.5891550,48.1373582,519.0
534,11.5670729,48.1266587,523.0
535,11.5669573,48.1259738,523.0
536,11.5674161,48.1231507,525.0
537,11.5710479,48.1250706,521.0
538,11.5734487,48.1263428,516.0
539,11.5713160,48.1405197,525.0
540,11.5719205,48.1414922,525.0
541,11.5732644,48.1418451,524.0
542,11.5705373,48.1406472,521.0
543,11.5719182,48.1405029,525.0
544,11.5717782,48.1403108,525.0
545,11.5744609,48.1416120,529.0
546,11.5748040,48.1422798,524.0
547,11.5814958,48.1391385,521.0
548,11.5802997,48.1393855,524.0
549,11.5818728,48.1396341,518.0
550,11.5791971,48.1360346,520.0
551,11.5789474,48.1350746,526.0
552,11.5802296,48.1350005,521.0
553,11.5773788,48.1344254,526.0
554,11.5799869,48.1365495,520.0
